;Codigo;Pob2010;Pob-V;Pob-M;km2;Size-sup;Size_pob;Of-banco;ActInd;ActComMinor;GruEstud;GruD
Abrera;8001;11469;5905;5564;20;3;3;7;286;164;1;1
Aiguafreda;8014;2505;1207;1298;8;1;1;3;72;36;1;1
Alella;8003;9557;4702;4855;10;2;3;5;193;78;1;1
AmetlladelVallès;8005;8112;4073;4039;14;2;3;4;236;77;1;1
ArenysdeMar;8006;14688;7202;7486;6;1;3;14;218;258;1;1
ArenysdeMunt;8007;8335;4181;4154;21;3;3;5;188;100;1;1
Argentona;8009;11718;5805;5913;25;3;3;10;350;131;1;2
Artés;8010;5515;2769;2746;18;3;2;6;154;75;1;2
Avià;8011;2223;1107;1116;27;3;1;2;74;19;1;2
Avinyó;8012;2336;1173;1163;63;4;1;3;70;23;1;2
AvinyonetdelPenedès;8013;1685;907;778;29;3;1;2;60;13;1;2
Badalona;8015;218886;109460;109426;21;3;5;170;3734;3635;1;2
BadiadelVallès;8904;13703;6746;6957;1;1;3;4;59;142;1;2
Bagà;8016;2361;1176;1185;43;4;1;4;81;40;1;3
Balenyà;8017;3702;1850;1852;17;2;2;6;133;31;1;3
Balsareny;8018;3485;1758;1727;37;4;2;3;104;58;1;3
BarberàdelVallès;8252;31688;15771;15917;8;1;4;42;962;522;1;3
Barcelona;8019;1619337;770044;849293;98;4;5;1861;22224;35429;1;3
Begues;8020;6348;3161;3187;50;4;2;2;127;51;1;4
Berga;8022;17161;8533;8628;23;3;4;15;321;543;1;4
BiguesiRiells;8023;8664;4446;4218;29;3;3;3;258;64;1;4
Bruc(El);8025;1956;1053;903;47;4;1;0;45;27;2;4
Cabrerad-Anoia;8028;1343;720;623;17;2;1;0;26;5;2;4
CabreradeMar;8029;4504;2264;2240;9;1;2;5;204;63;2;4
Cabrils;8030;7108;3490;3618;7;1;3;2;144;68;2;4
Calaf;8031;3611;1918;1693;9;1;2;5;93;76;2;4
Caldes_d_Estrac;8032;2783;1355;1428;1;1;2;2;30;43;2;5
Caldes_de_Montbui;8033;17019;8535;8484;38;4;4;14;429;264;2;5
Calella;8035;18625;9244;9381;8;1;4;15;198;533;2;5
Calldetenes;8037;2425;1241;1184;6;1;1;2;84;26;2;5
Callús;8038;1845;896;949;12;2;1;2;52;22;2;5
CanetdeMar;8040;13915;6860;7055;6;1;3;11;218;221;2;6
Canovelles;8041;16076;8402;7674;7;1;3;14;385;215;2;6
CànovesiSamalús;8042;2809;1444;1365;29;3;2;1;56;7;2;6
Canyelles;8043;4196;2135;2061;14;2;2;2;116;19;2;6
Capellades;8044;5498;2720;2778;3;1;2;6;109;78;2;6
Cardedeu;8046;16897;8325;8572;12;2;4;17;366;248;2;6
Cardona;8047;5182;2551;2631;66;4;2;4;109;107;2;7
Casserres;8049;1583;789;794;29;3;1;2;41;27;3;7
CastellardelVallès;8051;23129;11489;11640;45;4;4;18;711;289;3;7
CastellbellielVilar;8053;3731;1895;1836;29;3;2;3;98;45;3;7
Castellbisbal;8054;12223;6278;5945;31;3;3;9;435;130;3;7
Castelldefels;8056;62250;31087;31163;13;2;4;49;710;1019;3;7
CastelletilaGornal;8058;2240;1148;1092;47;4;1;1;71;12;3;8
Castellgalí;8061;1958;1027;931;17;2;1;0;92;12;3;8
CastellnoudeBages;8062;1069;553;516;30;3;1;0;34;2;3;8
Castellterçol;8064;2387;1182;1205;32;4;1;2;94;29;3;8
CastellvídelaMarca;8065;1635;817;818;29;3;1;1;69;13;3;8
CastellvídeRosanes;8066;1755;884;871;16;2;1;0;86;11;3;9
Centelles;8067;7259;3559;3700;15;2;3;8;234;122;3;9
Cercs;8268;1326;672;654;47;4;1;3;51;23;3;9
CerdanyoladelVallès;8266;58407;28867;29540;31;3;4;53;950;833;3;9
Cervelló;8068;8566;4322;4244;24;3;3;6;146;53;3;9
Collbató;8069;4114;2146;1968;18;3;2;0;83;37;3;10
CorberadeLlobregat;8072;14000;7040;6960;18;3;3;7;315;116;3;10
CornellàdeLlobregat;8073;87240;43355;43885;7;1;4;88;1345;1506;4;10
Cubelles;8074;13995;7100;6895;13;2;3;8;302;171;4;10
Dosrius;8075;5010;2530;2480;41;4;2;3;165;30;4;10
Esparreguera;8076;22042;11269;10773;27;3;4;17;499;290;4;10
EspluguesdeLlobregat;8077;46649;22769;23880;5;1;4;39;780;655;4;11
Figaró-Montmany;8134;1083;543;540;15;2;1;1;30;9;4;11
FogarsdelaSelva;8082;1513;792;721;32;4;1;0;39;11;4;11
Folgueroles;8083;2216;1126;1090;11;2;1;1;68;15;4;11
Fonollosa;8084;1401;720;681;52;4;1;0;34;8;4;11
Font-rubí;8085;1466;771;695;37;4;1;1;85;7;4;12
FranquesesdelVallès(Les);8086;18114;9315;8799;30;3;4;14;642;195;4;12
Garriga(La);8088;15069;7319;7750;19;3;3;13;361;271;4;12
Gavà;8089;46383;23021;23362;31;3;4;48;839;743;4;12
Gelida;8091;6945;3517;3428;27;3;3;4;155;64;4;13
Gironella;8092;5067;2519;2548;7;1;2;5;117;79;4;13
Granada(La);8094;1963;1001;962;6;1;1;1;57;14;4;13
Granollers;8096;59691;29747;29944;15;2;4;84;1200;1456;4;13
Gualba;8097;1235;627;608;23;3;1;1;40;16;4;13
GuardioladeBerguedà;8099;1024;547;477;61;4;1;2;15;27;5;13
Gurb;8100;2526;1298;1228;51;4;1;0;155;33;5;13
HospitaletdeLlobregat(L-);8101;258642;127125;131517;14;2;5;198;2953;3116;5;14
HostaletsdePierola(Els);8162;2743;1422;1321;34;4;2;1;80;10;5;14
Igualada;8102;39149;19335;19814;8;1;4;43;1071;833;5;14
Llagosta(La);8105;13713;6884;6829;3;1;3;14;226;183;5;14
Lliçàd-Amunt;8107;14356;7310;7046;22;3;3;5;356;105;5;14
LliçàdeVall;8108;6365;3249;3116;11;2;2;3;385;72;5;14
LlinarsdelVallès;8106;9170;4536;4634;28;3;3;9;221;130;5;15
MalgratdeMar;8110;18596;9288;9308;9;1;4;19;333;384;5;15
Manlleu;8112;20450;10324;10126;17;2;4;19;513;369;5;15
Manresa;8113;76209;37529;38680;42;4;4;86;1131;1561;5;15
Martorell;8114;26815;13887;12928;13;2;4;42;445;491;5;16
Martorelles;8115;4900;2460;2440;4;1;2;3;193;46;5;16
MasiesdeVoltregà(Les);8117;3226;1605;1621;22;3;2;1;111;39;5;16
Masnou(El);8118;22536;10830;11706;3;1;4;19;285;340;5;16
Masquefa;8119;8295;4199;4096;17;2;3;5;172;77;5;16
Matadepera;8120;8606;4319;4287;25;3;3;3;233;49;5;16
Mataró;8121;122905;61528;61377;22;3;5;123;2799;2873;5;17
Mediona;8122;2363;1214;1149;48;4;1;1;61;18;5;17
Moià;8138;5713;2886;2827;76;4;2;5;175;95;5;17
MolinsdeRei;8123;24236;11831;12405;16;2;4;26;491;378;5;17
MolletdelVallès;8124;52459;26336;26123;11;2;4;58;878;1155;6;17
MonistroldeMontserrat;8127;3027;1549;1478;12;2;2;4;59;44;6;17
MontcadaiReixac;8125;33656;16762;16894;23;3;4;33;899;511;6;18
Montgat;8126;10584;5217;5367;3;1;3;8;125;108;6;18
Montmeló;8135;9001;4469;4532;4;1;3;7;187;105;6;18
MontornèsdelVallès;8136;15790;8093;7697;10;2;3;17;549;190;6;18
Navarcles;8140;5964;2912;3052;6;1;2;4;154;72;6;18
Navàs;8141;6194;3079;3115;81;4;2;7;172;103;6;19
Òdena;8143;3442;1742;1700;52;4;2;3;157;24;6;19
Olèrdola;8145;3533;1830;1703;30;3;2;2;232;66;6;19
OlesadeBonesvalls;8146;1702;889;813;31;3;1;1;47;6;6;19
OlesadeMontserrat;8147;23646;11943;11703;17;2;4;22;372;381;6;19
Olivella;8148;3405;1794;1611;39;4;2;1;65;6;6;20
Olost;8149;1202;598;604;29;3;1;4;40;15;6;20
Palafolls;8155;8773;4404;4369;16;2;3;7;204;78;6;20
Palau-solitàiPlegamans;8156;14190;7152;7038;15;2;3;11;409;206;6;20
PalmadeCervelló(La);8905;3035;1506;1529;5;1;2;1;68;24;6;20
Pallejà;8157;11263;5697;5566;8;1;3;7;172;108;6;21
Papiol(El);8158;3937;1952;1985;9;1;2;3;182;48;6;21
ParetsdelVallès;8159;17805;9056;8749;9;1;4;18;467;207;6;21
Piera;8161;14576;7459;7117;57;4;3;7;289;177;6;21
PinedadeMar;8163;25893;13112;12781;10;2;4;20;468;439;6;21
PladelPenedès(El);8164;1103;558;545;9;1;1;1;49;17;6;21
PobladeClaramunt(La);8165;2295;1178;1117;19;3;1;3;107;18;6;22
PobladeLillet(La);8166;1303;648;655;52;4;1;2;31;40;6;22
Polinyà;8167;7798;3989;3809;9;1;3;7;343;95;6;22
PontdeVilomaraiRocafort(El);8182;3760;1943;1817;28;3;2;2;51;25;7;22
PratdeLlobregat(El);8169;63434;31469;31965;32;4;4;57;781;821;7;22
PratsdeLluçanès;8171;2739;1355;1384;13;2;2;5;75;55;7;22
PremiàdeDalt;8230;10064;5050;5014;7;1;3;3;188;69;7;23
PremiàdeMar;8172;27802;13707;14095;2;1;4;23;356;452;7;23
Puig-reig;8175;4333;2127;2206;46;4;2;6;117;79;7;23
Ripollet;8180;37151;18671;18480;4;1;4;34;653;452;7;23
RocadelVallès(La);8181;10291;5191;5100;37;4;3;11;288;211;7;23
RodadeTer;8183;6118;3006;3112;2;1;2;4;152;66;7;23
Rubí;8184;73591;36945;36646;32;4;4;62;1654;973;7;24
Sabadell;8187;207338;101462;105876;38;4;5;196;3438;3844;7;24
Sallent;8191;7029;3394;3635;66;4;3;7;139;140;7;24
SantAdriàdeBesòs;8194;34104;16859;17245;4;1;4;30;519;459;7;24
SantAndreudelaBarca;8196;26682;13506;13176;6;1;4;25;418;322;7;24
SantAndreudeLlavaneres;8197;10303;5134;5169;12;2;3;6;125;107;7;24
SantAntonideVilamajor;8198;5479;2749;2730;14;2;2;4;144;45;7;25
SantBoideLlobregat;8200;82411;40910;41501;22;3;4;68;1083;1218;7;25
SantCebriàdeVallalta;8203;3388;1761;1627;16;2;2;3;73;26;7;25
SantCeloni;8202;16905;8451;8454;65;4;4;18;469;372;7;25
SantClimentdeLlobregat;8204;3819;1923;1896;11;2;2;3;96;21;7;25
SantCugatdelVallès;8205;81745;39965;41780;48;4;4;58;1052;1096;7;25
SantEstevedePalautordera;8207;2500;1231;1269;11;2;1;3;45;20;7;25
SantEsteveSesrovires;8208;7329;3727;3602;18;3;3;4;240;64;7;25
SantFeliudeCodines;8210;5836;2980;2856;15;2;2;6;122;60;7;26
SantFeliudeLlobregat;8211;43112;21051;22061;12;2;4;46;705;541;7;26
SantFostdeCampsentelles;8209;8292;4150;4142;13;2;3;3;219;40;7;26
SantFruitósdeBages;8213;8184;4122;4062;22;3;3;7;328;130;8;26
SantHipòlitdeVoltregà;8215;3512;1761;1751;1;1;2;4;99;55;8;26
SantIscledeVallalta;8193;1280;669;611;18;3;1;2;32;7;8;26
SantJoandeVilatorrada;8218;10856;5478;5378;16;2;3;9;243;158;8;27
SantJoanDespí;8217;32338;15851;16487;6;1;4;34;452;399;8;27
SantJuliàdeVilatorta;8220;2974;1449;1525;16;2;2;2;83;24;8;27
SantJustDesvern;8221;15923;7598;8325;8;1;3;21;322;196;8;27
SantLlorençd-Hortons;8222;2416;1214;1202;20;3;1;2;102;19;8;27
SantLlorençSavall;8223;2402;1208;1194;41;4;1;3;98;34;8;28
SantMartídeCentelles;8224;1034;541;493;26;3;1;0;25;6;8;28
SantMartídeTous;8226;1164;586;578;39;4;1;2;31;10;8;28
SantMartíSarroca;8227;3161;1579;1582;35;4;2;2;103;25;8;28
SantPeredeRibes;8231;28399;14385;14014;41;4;4;22;508;331;8;28
SantPeredeRiudebitlles;8232;2381;1199;1182;5;1;1;3;89;34;8;28
SantPeredeTorelló;8233;2417;1228;1189;55;4;1;4;100;14;8;28
SantPeredeVilamajor;8234;4147;2078;2069;34;4;2;1;136;3;8;29
SantPoldeMar;8235;5076;2563;2513;8;1;2;4;100;58;8;29
SantQuintídeMediona;8236;2188;1123;1065;14;2;1;3;83;15;8;29
SantQuirzedeBesora;8237;2240;1108;1132;8;1;1;5;67;31;8;29
SantQuirzedelVallès;8238;18702;9221;9481;14;2;4;13;376;200;8;29
SantSadurníd-Anoia;8240;12323;6076;6247;19;3;3;13;459;216;8;30
SantSalvadordeGuardiola;8098;3078;1567;1511;37;4;2;1;86;29;8;30
SantVicençdeCastellet;8262;8688;4318;4370;17;2;3;9;180;123;9;30
SantVicençdeMontalt;8264;5776;2934;2842;8;1;2;2;108;54;9;30
SantVicençdeTorelló;8265;2028;999;1029;7;1;1;3;74;18;9;30
SantVicençdelsHorts;8263;28024;14071;13953;9;1;4;22;487;352;9;30
SantaColomadeCervelló;8244;7845;3872;3973;7;1;3;6;144;39;9;30
SantaColomadeGramenet;8245;120060;60779;59281;7;1;5;88;1347;1899;9;31
SantaEugèniadeBerga;8246;2261;1174;1087;6;1;1;1;73;18;9;31
SantaEulàliadeRiuprimer;8247;1079;557;522;14;2;1;1;42;11;9;31
SantaEulàliadeRonçana;8248;6829;3407;3422;14;2;2;5;188;44;9;31
SantaMargaridadeMontbui;8250;9811;4933;4878;28;3;3;8;177;90;9;31
SantaMargaridaielsMonjos;8251;6933;3553;3380;17;2;2;7;200;78;9;31
SantaMariad-Oló;8258;1079;549;530;66;4;1;3;30;10;9;32
SantaMariadeCorcó;8254;2262;1147;1115;62;4;1;3;105;21;9;32
SantaMariadePalautordera;8259;9040;4645;4395;17;2;3;6;230;117;9;32
SantaPerpètuadeMogoda;8260;25191;12958;12233;16;2;4;19;715;307;9;32
SantaSusanna;8261;3308;1688;1620;13;2;2;2;52;90;9;32
Santpedor;8192;7071;3535;3536;17;2;3;9;228;81;9;32
Sentmenat;8267;8112;4112;4000;28;3;3;7;355;94;9;33
Seva;8269;3418;1760;1658;31;3;2;2;124;23;9;33
Sitges;8270;28130;14066;14064;44;4;4;31;465;606;9;33
Subirats;8273;3076;1546;1530;56;4;2;1;142;48;9;33
Súria;8274;6359;3118;3241;24;3;2;5;116;110;9;33
Taradell;8278;6098;3086;3012;27;3;2;5;234;79;9;33
Teià;8281;6081;3028;3053;7;1;2;5;141;53;9;34
Terrassa;8279;212724;105690;107034;70;4;5;192;3561;3038;9;34
Tiana;8282;7774;3788;3986;8;1;3;5;71;38;9;34
Tona;8283;7984;4001;3983;17;2;3;9;164;102;10;34
Tordera;8284;15641;8022;7619;85;4;3;13;340;240;10;34
Torelló;8285;13944;6913;7031;13;2;3;13;415;287;10;34
TorredeClaramunt(La);8286;3757;1961;1796;15;2;2;2;90;28;10;34
Torrelavit;8287;1383;749;634;24;3;1;1;68;11;10;34
TorrellesdeFoix;8288;2545;1331;1214;37;4;1;1;57;10;10;35
TorrellesdeLlobregat;8289;5526;2762;2764;14;2;2;3;99;36;10;35
Ullastrell;8290;1892;968;924;7;1;1;1;37;9;10;35
Vacarisses;8291;6017;3112;2905;40;4;2;3;187;42;10;35
Vallbonad-Anoia;8292;1423;731;692;6;1;1;2;37;11;10;35
Vallgorguina;8294;2591;1332;1259;22;3;1;1;63;10;10;35
Vallirana;8295;14200;7097;7103;24;3;3;7;353;140;10;35
Vallromanes;8296;2367;1200;1167;11;2;1;1;59;19;10;36
Vic;8298;40422;20134;20288;31;3;4;56;879;1154;10;36
Viladecans;8301;64077;32104;31973;20;3;4;61;1098;986;10;36
Viladecavalls;8300;7323;3641;3682;20;3;3;4;138;45;10;36
VilafrancadelPenedès;8305;38218;18941;19277;20;3;4;49;610;937;10;36
VilanovadelCamí;8302;12644;6387;6257;10;2;3;10;304;140;10;36
VilanovadelVallès;8902;4797;2460;2337;16;2;2;5;110;41;10;37
VilanovailaGeltrú;8307;66532;32739;33793;34;4;4;67;937;1397;10;37
VilassardeDalt;8214;8746;4302;4444;9;1;3;7;301;91;10;37
VilassardeMar;8219;19574;9421;10153;4;1;4;14;280;283;10;37
VilobídelPenedès;8304;1129;586;543;9;1;1;1;57;9;10;37
