movie_title;gross;budget;duration;title_year;director_fl;actor1_fl;actor2_fl;actor3_fl;cast_fl;faces_poster;Genre
Avatar†;760505847;237000000;178;2009;0;1000;936;855;4834;0;Action
Pirates of the Caribbean: At World's End†;309404152;300000000;169;2007;563;40000;5000;1000;48350;0;Action
John Carter†;73058679;263700000;132;2012;475;640;632;530;1873;1;Action
Spider-Man 3†;336530303;258000000;156;2007;0;24000;11000;4000;46055;0;Action
Avengers: Age of Ultron†;458991599;250000000;141;2015;0;26000;21000;19000;92000;4;Action
Batman v Superman: Dawn of Justice†;330249062;250000000;183;2016;0;15000;4000;2000;24450;0;Action
Superman Returns†;200069408;209000000;169;2006;0;18000;10000;903;29991;0;Action
Pirates of the Caribbean: Dead Man's Chest†;423032628;225000000;151;2006;563;40000;5000;1000;48486;2;Action
The Lone Ranger†;89289910;215000000;150;2013;563;40000;2000;1000;45757;1;Action
Man of Steel†;291021565;225000000;143;2013;0;15000;3000;748;20495;0;Action
The Chronicles of Narnia: Prince Caspian†;141614023;225000000;150;2008;80;22000;216;201;22697;4;Action
The Avengers†;623279547;220000000;173;2012;0;26000;21000;19000;87697;3;Action
Pirates of the Caribbean: On Stranger Tides†;241063875;250000000;136;2011;252;40000;11000;1000;54083;4;Action
The Amazing Spider-Man†;262030663;230000000;153;2012;464;15000;10000;963;28489;0;Action
The Hobbit: The Desolation of Smaug†;258355354;225000000;186;2013;0;5000;972;773;9152;6;Action
The Golden Compass†;70083519;180000000;113;2007;129;16000;6000;1000;24106;2;Action
Captain America: Civil War†;407197282;250000000;147;2016;94;21000;19000;11000;64798;0;Action
Iron Man 3†;408992272;200000000;195;2013;1000;21000;4000;3000;30426;3;Action
Alice in Wonderland†;334185206;200000000;108;2010;13000;40000;25000;11000;79957;0;Action
Transformers: Revenge of the Fallen†;402076689;200000000;150;2009;0;894;581;464;3218;0;Action
Transformers: Age of Extinction†;245428137;210000000;165;2014;0;974;956;808;3988;2;Action
Oz the Great and Powerful†;234903076;215000000;130;2013;0;44000;15000;11000;73441;4;Action
The Amazing Spider-Man 2†;202853933;200000000;142;2014;464;15000;10000;825;28631;0;Action
TRON: Legacy†;172051787;170000000;125;2010;364;12000;10000;1000;25550;0;Action
Green Lantern†;116593191;200000000;123;2011;258;16000;368;326;17657;2;Action
Terminator Salvation†;125320003;200000000;118;2009;368;23000;3000;988;27468;0;Action
Star Trek Into Darkness†;228756232;190000000;132;2013;14000;19000;981;928;21411;0;Action
Jack the Giant Slayer†;65171860;195000000;114;2013;0;979;557;140;1766;1;Action
Prince of Persia: The Sands of Time†;90755643;200000000;116;2010;179;15000;567;236;16149;2;Action
Pacific Rim†;101785482;190000000;131;2013;0;16000;968;919;19166;0;Action
Transformers: Dark of the Moon†;352358779;195000000;154;2011;0;894;829;581;2593;2;Action
Indiana Jones and the Kingdom of the Crystal Skull†;317011114;185000000;122;2008;14000;11000;1000;1000;14959;2;Action
2012†;166112167;200000000;158;2009;776;1000;468;310;2144;0;Action
Jupiter Ascending†;47375327;176000000;127;2015;0;17000;15000;13000;47334;1;Action
X-Men: Apocalypse†;154985087;178000000;144;2016;0;34000;13000;1000;49684;6;Action
Iron Man†;318298180;140000000;126;2008;4000;21000;12000;4000;39252;3;Action
Edge of Tomorrow†;100189501;178000000;113;2014;218;10000;854;509;12652;1;Action
Iron Man 2†;312057433;200000000;124;2010;4000;21000;19000;4000;48638;4;Action
Maleficent†;241407328;180000000;97;2014;171;11000;2000;846;15516;2;Action
Captain America: The Winter Soldier†;259746958;170000000;136;2014;94;19000;11000;2000;36188;1;Action
Independence Day: Resurgence†;102315545;165000000;120;2016;776;890;812;535;3233;0;Action
Guardians of the Galaxy†;333130696;170000000;121;2014;571;14000;14000;3000;32438;3;Action
The Curious Case of Benjamin Button†;127490802;150000000;166;2008;21000;11000;1000;919;13333;2;Drama
X-Men: First Class†;146405371;160000000;132;2011;905;34000;13000;1000;50983;3;Action
The Hunger Games: Mockingjay - Part 2†;281666058;160000000;137;2015;508;34000;22000;14000;81385;1;Action
The Sorcerer's Apprentice†;63143812;150000000;109;2010;226;12000;418;370;13388;0;Action
Warcraft†;46978995;160000000;123;2016;0;3000;716;648;5505;0;Action
Terminator Genisys†;89732035;155000000;126;2015;230;24000;10000;2000;38873;2;Action
The Chronicles of Narnia: The Voyage of the Dawn Treader†;104383624;155000000;113;2010;150;531;82;59;764;4;Action
Transformers†;318759914;150000000;144;2007;0;662;599;581;2333;0;Action
Ratatouille†;206435493;150000000;111;2007;663;1000;1000;954;4764;0;Comedy
Thor: The Dark World†;206360018;170000000;112;2013;230;26000;20000;12000;59803;3;Action
Angels & Demons†;133375846;150000000;146;2009;2000;15000;745;294;16948;2;Horror
Thor†;181015141;150000000;115;2011;0;26000;20000;12000;60059;1;Action
Wrath of the Titans†;83640426;150000000;99;2012;473;14000;897;502;16184;0;Action
The Last Airbender†;131564731;150000000;103;2010;0;1000;756;346;2857;0;Action
Star Trek†;257704099;150000000;127;2009;14000;26000;12000;981;39284;0;Action
Gods of Egypt†;31141074;140000000;126;2016;295;18000;934;284;19769;4;Action
Captain America: The First Avenger†;176636816;140000000;124;2011;394;11000;3000;2000;19761;0;Action
The Incredible Hulk†;134518390;150000000;135;2008;255;3000;1000;882;5811;0;Action
After Earth†;60522097;130000000;100;2013;0;10000;943;894;14168;0;Action
The Da Vinci Code†;217536138;125000000;174;2006;2000;15000;574;362;16008;2;Horror
Clash of the Titans†;163192114;125000000;106;2010;255;14000;1000;850;18003;0;Action
Speed Racer†;43929341;120000000;135;2008;0;690;107;87;902;0;Action
Fantastic Four†;56114221;120000000;100;2015;128;596;360;78;1261;3;Action
Ender's Game†;61656849;110000000;114;2013;151;11000;635;430;12908;4;Action
The Princess and the Frog†;104374107;105000000;97;2009;63;852;578;525;2480;0;Comedy
Public Enemies†;97030725;100000000;140;2009;0;40000;23000;1000;64599;1;Drama
American Gangster†;130127620;100000000;176;2007;0;18000;782;561;20354;0;Drama
Little Fockers†;148383780;100000000;98;2010;80;22000;713;708;24082;10;Comedy
Django Unchained†;162804648;100000000;165;2012;16000;29000;11000;265;40978;1;Drama
Eragon†;75030163;100000000;104;2006;14;3000;762;203;4487;0;Action
Hercules†;72660029;100000000;101;2014;420;12000;3000;467;16235;0;Action
Surf's Up†;58867694;100000000;85;2007;9;12000;11000;970;25590;0;Comedy
The Campaign†;86897182;95000000;85;2012;116;8000;331;329;9271;0;Comedy
Cinderella†;201148159;95000000;105;2015;0;2000;520;502;4671;1;Drama
Seventh Son†;17176900;95000000;102;2014;44;12000;3000;766;17098;4;Action
The Spiderwick Chronicles†;71148699;90000000;107;2008;70;770;419;330;1614;0;Action
Percy Jackson: Sea of Monsters†;68558662;90000000;106;2013;87;8000;956;918;10882;0;Action
Happy Feet†;197992827;100000000;108;2006;750;49000;20000;971;70996;0;Comedy
Hotel Transylvania†;148313048;85000000;91;2012;266;12000;11000;11000;37142;2;Comedy
Enchanted†;127706877;85000000;107;2007;36;283;142;118;662;2;Comedy
The Holiday†;63224849;85000000;138;2006;278;14000;3000;213;17423;3;Comedy
Ocean's Thirteen†;117144465;85000000;122;2007;0;14000;13000;11000;43499;3;Horror
The Hangover Part II†;254455986;80000000;102;2011;480;14000;670;461;16143;0;Comedy
Grown Ups 2†;133668525;80000000;101;2013;221;12000;11000;11000;39269;4;Comedy
Shutter Island†;127968405;80000000;138;2010;17000;29000;223;163;29585;0;Horror
Bedtime Stories†;109993847;80000000;99;2008;163;11000;869;495;12831;0;Comedy
Just Go with It†;103028109;80000000;117;2011;221;11000;3000;503;16325;1;Comedy
Hotel Transylvania 2†;169692572;80000000;89;2015;266;12000;11000;859;26839;0;Comedy
The Last Witch Hunter†;27356090;90000000;106;2015;42;14000;788;612;16922;0;Action
Jack and Jill†;74158157;79000000;91;2011;221;14000;11000;553;27405;2;Comedy
Now You See Me†;117698894;75000000;125;2013;255;11000;988;963;13312;6;Horror
Grown Ups†;162001186;80000000;102;2010;221;12000;11000;4000;28497;4;Comedy
Dreamgirls†;103338338;70000000;130;2006;386;912;549;525;2856;0;Drama
Sucker Punch†;36381716;82000000;128;2011;0;4000;2000;826;7067;4;Action
Battle Los Angeles†;83552429;70000000;116;2011;473;833;697;464;4001;0;Action
War Horse†;79883359;66000000;146;2011;14000;25000;19000;979;46726;1;Drama
The Monuments Men†;78031620;70000000;118;2014;0;13000;13000;559;27674;7;Drama
Wall Street: Money Never Sleeps†;52474616;70000000;136;2010;0;903;592;17;1579;2;Drama
Despicable Me†;251501645;69000000;87;2010;275;7000;2000;975;11608;0;Comedy
Ted 2†;81257500;68000000;125;2015;3000;14000;11000;3000;30010;0;Comedy
Hall Pass†;45045037;36000000;111;2011;101;966;919;681;3393;3;Comedy
Lincoln†;182204440;65000000;150;2012;14000;23000;826;655;25517;0;Drama
Les Mis√©rables†;148775460;61000000;158;2012;0;20000;13000;11000;46204;1;Drama
Step Brothers†;100468793;65000000;106;2008;285;8000;3000;105;11264;2;Comedy
Unbroken†;115603980;65000000;137;2014;11000;769;698;465;2938;0;Drama
The Dictator†;59617068;65000000;99;2012;119;600;346;174;1375;0;Comedy
Blades of Glory†;118153533;61000000;93;2007;8;8000;1000;970;13232;2;Comedy
Couples Retreat†;109176215;60000000;113;2009;0;4000;722;721;8172;6;Comedy
Eat Pray Love†;80574010;60000000;140;2010;708;11000;8000;745;20440;1;Drama
Coraline†;75280058;60000000;100;2009;253;309;229;57;647;1;Comedy
Invictus†;37479778;60000000;134;2009;16000;13000;11000;204;24458;1;Drama
The Mortal Instruments: City of Bones†;31165421;60000000;130;2013;91;5000;2000;1000;10247;3;Horror
The Internship†;44665963;58000000;125;2013;189;1000;847;839;5081;2;Comedy
That's My Boy†;36931089;70000000;116;2012;51;11000;3000;622;16484;2;Comedy
Alvin and the Chipmunks†;217326336;60000000;92;2007;25;1000;718;639;2847;0;Comedy
The Pursuit of Happyness†;162586036;55000000;117;2006;125;10000;617;168;11036;0;Drama
Mr, Popper's Penguins†;68218041;55000000;94;2011;70;1000;549;497;2820;1;Comedy
The Forbidden Kingdom†;25040293;55000000;104;2008;50;5000;962;947;7247;0;Action
Semi-Pro†;33472850;55000000;99;2008;3;8000;509;490;10026;3;Comedy
Burlesque†;39440655;55000000;119;2010;59;2000;828;676;4315;1;Drama
Seven Pounds†;69951824;55000000;123;2008;125;10000;3000;835;14727;1;Drama
"You; Me and Dupree†";75604320;54000000;110;2006;94;277;245;240;847;1;Comedy
Black Mass†;62563543;53000000;123;2015;108;40000;19000;3000;63769;7;Drama
Flags of Our Fathers†;33574332;90000000;135;2006;16000;23000;638;310;24468;0;Drama
Mamma Mia!†;143704210;52000000;108;2008;58;14000;11000;838;26002;1;Comedy
Valentine's Day†;110476776;52000000;125;2010;0;14000;12000;11000;45696;12;Comedy
The Change-Up†;37035845;52000000;118;2011;71;16000;10000;634;28045;2;Comedy
Ted†;218628680;50000000;112;2012;3000;15000;3000;1000;21773;1;Comedy
Yes Man†;97680195;70000000;104;2008;235;14000;11000;1000;29505;1;Comedy
Daddy's Home†;150315155;50000000;96;2015;51;8000;2000;322;10886;2;Comedy
Failure to Launch†;88658172;50000000;95;2006;9;14000;11000;11000;37967;2;Comedy
Moneyball†;75605492;50000000;133;2011;152;22000;18000;11000;53094;1;Drama
American Reunion†;56724080;50000000;113;2012;22;3000;1000;1000;8398;7;Comedy
The Judge†;47105085;50000000;141;2014;71;21000;3000;3000;30183;1;Drama
Hereafter†;32741596;50000000;129;2010;16000;13000;563;447;14344;0;Drama
Eastern Promises†;17114882;25000000;96;2007;0;10000;6000;509;17211;1;Horror
Beautiful Creatures†;19445217;60000000;124;2013;98;1000;852;592;3580;7;Drama
Journey to the Center of the Earth†;101702060;45000000;93;2008;40;14000;3000;311;17925;0;Action
Blended†;46280507;40000000;117;2014;153;35000;11000;734;49743;0;Comedy
Across the Universe†;24343673;45000000;133;2007;278;5000;117;107;5405;0;Drama
Revolutionary Road†;22877808;35000000;119;2008;0;29000;14000;10000;53895;0;Drama
Br√ºno†;59992760;42000000;81;2009;119;468;442;412;2134;1;Comedy
Red Riding Hood†;37652565;42000000;100;2011;308;10000;2000;913;15369;2;Horror
American Hustle†;150117807;40000000;138;2013;737;34000;23000;14000;83012;5;Drama
Fifty Shades of Grey†;166147885;40000000;129;2015;456;1000;935;716;4585;0;Drama
The Conjuring 2†;102310175;40000000;134;2016;0;1000;575;336;2676;0;Horror
The Social Network†;96917897;40000000;120;2010;21000;10000;349;81;10555;0;Drama
Scary Movie 4†;90703745;45000000;89;2006;119;2000;869;807;5855;8;Comedy
Get Hard†;90353764;40000000;107;2015;164;8000;2000;723;12556;2;Comedy
Julie & Julia†;94125426;40000000;123;2009;0;11000;935;923;13321;2;Drama
42†;95001343;40000000;128;2013;241;11000;3000;898;16911;0;Drama
Dumb and Dumber To†;86208010;35000000;109;2014;101;13000;899;839;16179;1;Comedy
"I Love You; Man†";71347010;40000000;105;2009;29;24000;4000;257;28928;2;Comedy
The Other Woman†;83906114;40000000;109;2014;415;982;971;119;2357;2;Comedy
Horrible Bosses 2†;54414716;42000000;116;2014;51;18000;11000;465;30571;7;Comedy
The Lake House†;52320979;40000000;99;2006;18;18000;426;211;18693;0;Drama
Made of Honor†;46012734;40000000;101;2008;10;1000;689;681;4298;2;Comedy
Scream 4†;38176892;40000000;111;2011;0;2000;741;687;4486;0;Horror
Sex Tape†;38543473;40000000;94;2014;52;683;392;214;1488;2;Comedy
Final Destination 5†;42575718;40000000;92;2011;77;703;682;495;3074;0;Horror
A Million Ways to Die in the West†;42615685;40000000;136;2014;3000;14000;9000;3000;28927;3;Comedy
Marie Antoinette†;15962471;40000000;123;2006;0;4000;887;826;7243;1;Drama
The Ugly Truth†;88915214;38000000;96;2009;126;18000;957;954;22436;2;Comedy
Water for Elephants†;58700247;38000000;120;2011;508;21000;11000;1000;36062;1;Drama
Precious†;47536959;10000000;109;2009;304;940;906;736;3277;0;Drama
City of Ember†;7871693;55000000;90;2008;27;13000;2000;260;15494;0;Action
The Master†;16377274;32000000;144;2012;0;378;18;15;427;31;Drama
Creed†;109712885;35000000;133;2015;0;13000;597;531;15106;1;Drama
Twilight†;191449475;37000000;122;2008;308;17000;12000;10000;44060;1;Drama
We're the Millers†;150368971;37000000;118;2013;43;740;707;651;3425;4;Comedy
The Hangover†;277313371;35000000;108;2009;480;14000;839;706;17623;3;Comedy
The Blind Side†;255950375;29000000;129;2009;102;768;734;624;3389;0;Drama
Horrible Bosses†;117528646;35000000;106;2011;91;18000;464;64;18669;5;Comedy
Identity Thief†;134455175;35000000;120;2013;91;4000;904;680;5826;2;Comedy
Friends with Benefits†;55802754;35000000;109;2011;87;15000;3000;923;20956;2;Comedy
This Is 40†;67523385;35000000;134;2012;0;529;130;120;1050;2;Comedy
J, Edgar†;37304950;35000000;137;2011;16000;29000;6000;363;36258;0;Drama
Mirrors†;30691439;35000000;112;2008;192;1000;915;844;3185;0;Horror
Walk Hard: The Dewey Cox Story†;18317151;35000000;120;2007;52;553;214;134;1082;1;Comedy
The Tree of Life†;13303319;32000000;139;2011;0;11000;1000;687;13021;0;Drama
The Longest Ride†;37432299;34000000;128;2015;88;989;970;954;3386;0;Drama
The Reader†;34180954;32000000;124;2008;335;14000;388;50;14504;0;Drama
Bridesmaids†;169076745;32500000;131;2011;176;722;655;460;3229;6;Comedy
This Is the End†;101470202;32000000;107;2013;133;17000;11000;9000;38751;6;Comedy
The Number 23†;35063732;32000000;98;2007;541;8000;912;897;10938;1;Horror
The Incredible Burt Wonderstone†;22525921;30000000;100;2013;35;12000;10000;7000;32094;4;Comedy
Going the Distance†;17797316;32000000;102;2010;8;839;730;472;2961;0;Comedy
The Vow†;125014030;30000000;104;2012;23;17000;359;281;18322;0;Drama
Lee Daniels' The Butler†;116631310;30000000;132;2013;304;15000;1000;898;20035;0;Drama
27 Dresses†;76806312;30000000;111;2008;98;2000;805;71;2978;1;Comedy
Up in the Air†;83813460;25000000;108;2009;655;24000;10000;940;35209;0;Drama
Bride Wars†;58715510;30000000;89;2009;56;11000;826;545;13794;2;Comedy
P,S, I Love You†;53680848;30000000;126;2007;98;18000;631;37;18726;1;Drama
Southpaw†;52418902;30000000;124;2015;845;15000;1000;424;16881;0;Drama
Drag Me to Hell†;42057340;30000000;99;2009;0;2000;1000;828;5642;0;Horror
The Age of Adaline†;42478175;25000000;112;2015;43;11000;2000;1000;15327;1;Drama
30 Days of Night†;39568996;32000000;113;2007;171;430;72;63;814;0;Horror
The Cabin in the Woods†;42043633;30000000;95;2012;246;26000;821;751;29551;0;Horror
Meet the Spartans†;38232624;30000000;86;2008;82;869;759;362;3854;0;Comedy
Deliver Us from Evil†;30523568;30000000;118;2014;301;2000;1000;897;5697;0;Horror
The Five-Year Engagement†;28644770;30000000;131;2012;89;2000;401;372;3479;2;Comedy
Runner Runner†;19316646;30000000;88;2013;65;3000;697;681;5706;3;Horror
Pitch Perfect 2†;183436380;29000000;115;2015;0;10000;1000;751;13159;8;Comedy
Frost/Nixon†;18593156;35000000;122;2008;2000;2000;1000;1000;6161;1;Drama
Straight Outta Compton†;161029270;28000000;167;2015;473;559;427;303;2702;0;Drama
Last Vegas†;63910583;28000000;105;2013;226;22000;11000;966;35694;2;Comedy
Knocked Up†;148734225;30000000;133;2007;0;11000;985;529;12874;2;Comedy
My Sister's Keeper†;49185998;30000000;109;2009;415;673;489;228;1775;2;Drama
Case 39†;13248477;27000000;109;2009;22;14000;716;355;15790;1;Horror
New Year's Eve†;54540525;56000000;113;2011;0;22000;988;307;23456;15;Comedy
The Raven†;16005978;26000000;110;2012;160;771;570;427;2356;1;Horror
Gran Torino†;148085755;33000000;116;2008;16000;16000;601;198;17347;0;Drama
The Help†;169705587;25000000;146;2011;150;15000;3000;2000;23227;2;Drama
No Strings Attached†;70625986;25000000;108;2011;425;20000;962;766;22739;1;Comedy
The Lucky One†;60443237;25000000;101;2012;96;713;220;204;1852;0;Drama
There Will Be Blood†;40218903;25000000;158;2007;0;272;111;104;533;0;Drama
The House Bunny†;48237389;25000000;97;2008;29;15000;852;816;18789;1;Comedy
Good Luck Chuck†;35000629;25000000;101;2007;7;1000;562;440;2822;1;Comedy
She's the Man†;33687630;20000000;105;2006;99;17000;1000;960;20109;0;Comedy
August Rush†;31655091;30000000;114;2007;59;49000;702;403;50927;0;Drama
August: Osage County†;37738400;25000000;121;2013;53;19000;11000;8000;39690;3;Drama
The Ruins†;17427926;8000000;93;2008;27;960;664;49;1749;0;Horror
Warrior†;13651662;25000000;140;2011;149;27000;798;581;29692;1;Drama
Rocky Balboa†;70269171;24000000;139;2006;13000;13000;683;461;15111;0;Drama
Zack and Miri Make a Porno†;31452765;24000000;101;2008;0;218;216;92;638;7;Comedy
The Men Who Stare at Goats†;32416109;25000000;94;2009;293;18000;12000;939;32474;0;Comedy
The Ides of March†;40962534;12500000;101;2011;0;33000;22000;1000;57077;1;Drama
1408†;71975611;25000000;114;2007;101;129;25;23;214;0;Horror
To Rome with Love†;16684352;17000000;112;2012;11000;385;223;159;1205;0;Comedy
Death at a Funeral†;8579684;9000000;87;2007;0;22000;557;548;24324;0;Comedy
The Conjuring†;137387272;20000000;112;2013;0;6000;960;697;9049;0;Horror
The Last Song†;62933793;20000000;107;2010;30;742;360;318;2341;1;Drama
12 Years a Slave†;56667870;20000000;134;2013;0;2000;660;500;4251;0;Drama
Date Movie†;48546578;20000000;85;2006;64;3000;869;729;6539;0;Comedy
Spotlight†;44988180;20000000;128;2015;310;745;168;77;1058;2;Drama
Scary Movie 5†;32014289;20000000;88;2013;92;31000;881;636;34319;8;Comedy
Milk†;31838002;20000000;128;2008;835;11000;896;755;13189;1;Drama
She's Out of My League†;31584722;20000000;104;2010;14;2000;934;756;5707;1;Comedy
Reign Over Me†;19661987;20000000;124;2007;57;11000;3000;905;17050;2;Drama
Disaster Movie†;14174654;25000000;88;2008;82;869;624;329;2857;0;Comedy
What's Your Number?†;13987482;20000000;117;2011;20;11000;904;783;15713;1;Comedy
Bad Teacher†;100292856;20000000;97;2011;52;3000;957;384;5547;0;Comedy
The Crazies†;39103378;20000000;101;2010;42;991;894;219;2609;0;Horror
The Book Thief†;21483154;19000000;131;2013;33;876;526;326;1985;1;Drama
The Invention of Lying†;18439082;18500000;100;2009;0;3000;2000;985;7252;3;Comedy
Neighbors†;150056505;18000000;97;2014;89;920;798;329;2771;3;Comedy
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan†;128505958;18000000;82;2006;119;332;165;6;505;1;Comedy
Blue Jasmine†;33404871;18000000;98;2013;11000;594;268;218;1353;1;Drama
Superbad†;121463226;20000000;119;2007;99;15000;833;778;17584;2;Comedy
Step Up 2: The Streets†;58006147;23000000;98;2008;209;158;152;129;816;2;Drama
Let's Be Cops†;82389560;17000000;104;2014;42;839;756;613;3627;1;Comedy
Beerfest†;19179969;17500000;110;2006;422;33000;459;422;35345;2;Comedy
Beastly†;27854896;17000000;86;2011;33;15000;976;583;17396;1;Drama
The Hills Have Eyes†;41777564;15000000;108;2006;192;1000;1000;580;4500;0;Horror
Pitch Perfect†;64998368;17000000;112;2012;36;10000;751;746;12676;4;Comedy
Evil Dead†;54239856;17000000;96;2013;201;394;150;58;673;0;Horror
The Texas Chainsaw Massacre: The Beginning†;39511038;16000000;83;2006;473;20000;4000;597;26402;0;Horror
Remember Me†;19057024;16000000;113;2010;47;21000;541;238;22088;0;Drama
Bad Grandpa†;101978840;15000000;102;2013;79;925;38;27;1018;0;Comedy
The Last House on the Left†;32721635;15000000;114;2009;29;956;878;616;3861;0;Horror
Drive†;35054909;15000000;100;2011;0;33000;745;228;34337;0;Drama
Killing Them Softly†;14938570;15000000;97;2012;181;11000;820;748;14025;1;Horror
One Day†;13766014;15000000;107;2011;92;11000;5000;358;17627;0;Drama
Whip It†;13034417;15000000;111;2009;0;796;787;727;2633;1;Drama
The Man with the Iron Fists†;15608545;15000000;107;2012;561;746;561;353;2377;3;Action
Black Snake Moan†;9396487;15000000;116;2006;153;3000;788;539;5012;0;Drama
Whatever Works†;5306447;15000000;92;2009;11000;860;658;386;2717;1;Comedy
Little Children†;5459824;26000000;137;2006;143;14000;617;280;15337;0;Drama
The Mist†;25592632;18000000;126;2007;0;2000;850;745;5371;0;Horror
21 & Over†;25675765;13000000;93;2013;24;552;528;499;2730;0;Comedy
The Perks of Being a Wallflower†;17738570;13000000;102;2012;139;8000;3000;850;13631;2;Drama
The Call†;51872378;13000000;94;2013;122;873;461;383;2812;0;Horror
Step Up†;65269010;12000000;104;2006;98;17000;2000;920;21380;0;Drama
Project X†;54724272;12000000;93;2012;166;971;329;281;2043;0;Comedy
The Fault in Our Stars†;124868837;12000000;133;2014;131;8000;1000;733;10565;0;Drama
The Fighter†;93571803;25000000;116;2010;737;23000;238;141;23811;2;Drama
If I Stay†;50461335;11000000;107;2014;15;17000;1000;602;20466;3;Drama
Inside Llewyn Davis†;13214255;11000000;104;2013;1000;3000;275;272;4082;1;Drama
Saw V†;56729973;10800000;95;2008;43;3000;723;357;5286;0;Horror
Saw III†;80150343;10000000;121;2006;163;723;651;482;3189;0;Horror
Saw IV†;63270259;10000000;96;2007;163;723;651;448;3492;0;Horror
Devil†;33583175;10000000;80;2010;66;2000;904;816;5628;0;Horror
Mud†;21589307;10000000;130;2012;337;11000;1000;820;13960;1;Drama
The Gift†;43771291;5000000;108;2015;0;1000;562;458;3215;1;Horror
Big Eyes†;14479776;10000000;106;2014;13000;11000;430;309;12418;3;Drama
Movie 43†;8828771;6000000;94;2013;0;20000;14000;3000;41059;10;Comedy
Sicko†;24530513;9000000;123;2007;909;909;203;184;1633;1;Drama
Awake†;14373825;8600000;84;2007;8;4000;922;896;6954;0;Horror
Crazy Heart†;39462438;7000000;112;2009;108;12000;628;175;13172;0;Drama
The DUFF†;34017854;8500000;101;2015;17;35000;966;429;36892;4;Comedy
That Awkward Moment†;26049082;8000000;94;2014;19;363;342;117;1024;3;Comedy
Easy A†;58401464;8000000;92;2010;87;15000;1000;424;16982;1;Comedy
Begin Again†;16168741;8000000;104;2013;109;480;12;7;517;1;Drama
Hostel: Part II†;17544812;10000000;94;2007;0;1000;683;658;4707;0;Horror
A Single Man†;9166863;7000000;99;2009;192;14000;343;292;14816;2;Drama
Annabelle†;84263837;6500000;99;2014;40;1000;421;300;2323;0;Horror
The Wrestler†;26236603;6000000;109;2008;0;1000;245;120;1582;0;Drama
Insidious: Chapter 2†;83574831;5000000;106;2013;0;852;618;482;2975;0;Horror
Paranormal Activity 3†;104007828;5000000;94;2011;24;581;438;434;2371;0;Horror
Paranormal Activity 4†;53884821;5000000;96;2012;24;235;119;113;799;0;Horror
Dallas Buyers Club†;27296514;5000000;117;2013;212;11000;3000;896;17738;0;Drama
Oculus†;27689474;5000000;104;2013;59;972;407;202;2071;0;Horror
Clerks II†;24138847;5000000;97;2006;0;1000;898;657;2990;3;Comedy
Still Alice†;18656400;5000000;101;2014;25;17000;2000;423;19673;1;Drama
Spring Breakers†;14123773;5000000;94;2012;520;11000;892;192;12306;4;Drama
Boyhood†;25359200;4000000;165;2014;0;230;193;127;673;0;Drama
The Witch†;25138292;3500000;92;2015;22;648;191;159;1122;0;Horror
Whiplash†;13092000;3300000;107;2014;141;24000;970;535;26495;0;Drama
Paranormal Activity 2†;84749884;3000000;98;2010;21;438;332;189;1081;0;Horror
Sinister†;48056940;3000000;110;2012;301;1000;419;412;2239;0;Horror
Before Midnight†;8114507;3000000;109;2013;0;140;63;48;328;1;Drama
Religulous†;12995673;2500000;101;2008;119;334;4;0;338;1;Comedy
It Follows†;14673301;2000000;100;2014;421;314;189;159;1062;0;Horror
Winter's Bone†;6531491;2000000;100;2010;81;34000;248;179;34446;2;Drama
Beasts of the Southern Wild†;12784397;1800000;93;2012;188;2000;458;168;2658;0;Drama
Insidious†;53991137;1500000;103;2010;0;852;618;588;3030;1;Horror
Blue Valentine†;9701559;3500000;112;2010;310;33000;2000;616;35941;0;Drama
Fruitvale Station†;16097842;900000;85;2013;0;282;270;88;687;0;Drama
Half Nelson†;2694973;700000;106;2006;31;33000;519;71;33734;2;Drama
What Happens in Vegas†;80276912;35000000;101;2008;12;642;171;149;1026;2;Comedy
