Variación mensual;
    2002M01;1,0
    2002M02;0,9
    2002M03;1,0
    2002M04;0,7
    2002M05;0,4
    2002M06;0,4
    2002M07;0,7
    2002M08;0,8
    2002M09;-0,5
    2002M10;-0,1
    2002M11;0,0
    2002M12;0,3
    2003M01;0,5
    2003M02;0,5
    2003M03;0,6
    2003M04;0,7
    2003M05;0,0
    2003M06;0,4
    2003M07;0,9
    2003M08;0,9
    2003M09;-0,8
    2003M10;0,0
    2003M11;-0,1
    2003M12;0,3
    2004M01;0,6
    2004M02;0,5
    2004M03;0,5
    2004M04;0,7
    2004M05;0,0
    2004M06;0,4
    2004M07;0,9
    2004M08;0,9
    2004M09;-0,8
    2004M10;0,0
    2004M11;0,0
    2004M12;0,3
    2005M01;0,4
    2005M02;0,5
    2005M03;0,9
    2005M04;0,4
    2005M05;0,3
    2005M06;0,5
    2005M07;0,9
    2005M08;0,9
    2005M09;-0,7
    2005M10;0,0
    2005M11;0,0
    2005M12;0,3
    2006M01;0,6
    2006M02;0,6
    2006M03;0,6
    2006M04;0,9
    2006M05;0,0
    2006M06;0,4
    2006M07;0,9
    2006M08;0,8
    2006M09;-0,7
    2006M10;0,0
    2006M11;0,0
    2006M12;0,3
    2007M01;0,8
    2007M02;0,6
    2007M03;0,7
    2007M04;1,2
    2007M05;0,0
    2007M06;0,5
    2007M07;0,9
    2007M08;0,8
    2007M09;-0,9
    2007M10;0,0
    2007M11;-0,1
    2007M12;0,4
    2008M01;0,7
    2008M02;0,6
    2008M03;1,0
    2008M04;0,5
    2008M05;0,2
    2008M06;0,5
    2008M07;1,0
    2008M08;0,8
    2008M09;-0,9
    2008M10;-0,2
    2008M11;-0,3
    2008M12;0,0
    2009M01;0,2
    2009M02;0,2
    2009M03;0,2
    2009M04;0,6
    2009M05;-0,1
    2009M06;0,2
    2009M07;0,7
    2009M08;0,9
    2009M09;-1,2
    2009M10;-0,2
    2009M11;-0,3
    2009M12;0,0
    2010M01;0,1
    2010M02;0,1
    2010M03;0,2
    2010M04;0,5
    2010M05;0,0
    2010M06;0,3
    2010M07;0,9
    2010M08;0,9
    2010M09;-1,0
    2010M10;-0,2
    2010M11;-0,2
    2010M12;0,2
    2011M01;0,1
    2011M02;0,1
    2011M03;0,3
    2011M04;0,6
    2011M05;-0,1
    2011M06;0,3
    2011M07;0,7
    2011M08;0,8
    2011M09;-1,1
    2011M10;-0,3
    2011M11;-0,3
    2011M12;0,2
    2012M01;-0,1
    2012M02;0,1
    2012M03;0,2
    2012M04;0,7
    2012M05;-0,2
    2012M06;0,2
    2012M07;0,6
    2012M08;0,7
    2012M09;-0,9
    2012M10;-0,2
    2012M11;-0,4
    2012M12;0,0
    2013M01;-0,2
    2013M02;0,0
    2013M03;0,3
    2013M04;0,3
    2013M05;0,1
    2013M06;0,3
    2013M07;0,7
    2013M08;0,6
    2013M09;-1,1
    2013M10;-0,3
    2013M11;-0,5
    2013M12;0,0
    2014M01;-0,2
    2014M02;0,1
    2014M03;0,3
    2014M04;0,8
    2014M05;-0,1
    2014M06;0,3
    2014M07;0,7
    2014M08;0,8
    2014M09;-1,0
    2014M10;-0,4
    2014M11;-0,5
    2014M12;0,1
    2015M01;-0,3
    2015M02;0,2
    2015M03;0,3
    2015M04;0,7
    2015M05;0,2
    2015M06;0,4
    2015M07;0,6
    2015M08;0,8
    2015M09;-1,1
    2015M10;-0,3
    2015M11;-0,5
    2015M12;0,0
    2016M01;0,1
    2016M02;0,4
    2016M03;0,5
    2016M04;0,2
    2016M05;0,2
    2016M06;0,2
    2016M07;0,4
    2016M08;0,3
    2016M09;-0,2